name,repository url
kuubu,https://gitlab.opencode.de/smarte.land.regionen/l2/frontend
ckanext-berlinauth,https://github.com/berlinonline/ckanext-berlinauth
BundesMessengerX Android,https://gitlab.opencode.de/bwi/bundesmessenger/clients/bundesmessenger-x-android
Data provider,https://gitlab.opencode.de/opencode-analyzer/data-provider
Pod Manager,https://gitlab.opencode.de/opencode-analyzer/pod-manager
BundesMessenger X iOS,https://gitlab.opencode.de/bwi/bundesmessenger/clients/bundesmessenger-x-ios
BundesMessenger - Matrix Rust SDK,https://gitlab.opencode.de/bwi/bundesmessenger/clients/bundesmessenger-matrix-rust-sdk
compound-android,https://gitlab.opencode.de/bwi/bundesmessenger/ui-components/compound-android
compound-ios,https://gitlab.opencode.de/bwi/bundesmessenger/ui-components/compound-ios
DSGVO-konforme Bildverarbeitung mit KI,https://gitlab.opencode.de/itdz-berlin/dsgvo-konforme-bildverarbeitung-mit-ki
Aurea AR Modul Android,https://gitlab.opencode.de/OC000040228294/aurea-ar-modul-android
Aurea AR Modul iOS,https://gitlab.opencode.de/OC000040228294/aurea-ar-modul-ios
GSB 11 Extension siteconfig_impexp,https://gitlab.opencode.de/bmi/government-site-builder-11/extensions/siteconfig_impexp
CONSUL,https://gitlab.opencode.de/smarte.land.regionen/consul/consul
Digitaler Bewegungstrainer,https://gitlab.opencode.de/smarte-region-myk10/digitaler-bewegungstrainer
Collboration Online Board,https://gitlab.opencode.de/iqsh/collaboration-online-board/index
usage-stats-api,https://gitlab.opencode.de/umwelt-info/usage-stats-api
Comby - Mitfahrbänke,https://gitlab.opencode.de/smarte.land.regionen/l4/comby-frontend
Schema,https://gitlab.opencode.de/bwi/bundesmessenger/backend/schema
Smarte Einsatzkräfteortung,https://gitlab.opencode.de/alte-hansestadt-lemgo/smarte-einsatzkraefteortung
Leezenflow,https://github.com/bCyberGmbH/leezenflow-code
Badeampel,https://gitlab.opencode.de/curry-solutions/landratsamt-roth/badeampel
OpenSource4Impact,https://gitlab.opencode.de/OC000039916151/OpenSource4Impact
LandRäume,https://gitlab.opencode.de/smarte.land.regionen/l1/landraeume
LandRäume Admin,https://gitlab.opencode.de/smarte.land.regionen/l1/landraeume
bayernID-Plugin für Keycloak/RH-SSO,https://gitlab.opencode.de/landeshauptstadt-muenchen/bayernid-plugin
RUMBA,https://gitlab.opencode.de/OC000015165920/rumba-1.6.06-wechselarbeitsplatzverwaltung/
elterngeldrechner,https://gitlab.opencode.de/digitalservicebund/elterngeldrechner
Landwohl,https://gitlab.opencode.de/smarte.land.regionen/l3/frontend
PlanBar + FahrBar Frontend,https://gitlab.opencode.de/smarte.land.regionen/l4/planbar-fahrbar-frontend
Ferienabenteuer - Ferienangebote einfach online buchen,https://gitlab.opencode.de/smart-city-bamberg/ferienabenteuer
DAVe,https://github.com/it-at-m/dave
Elastic SIEM MIP-Connector,https://gitlab.opencode.de/bmbf/ism/elastic-siem-mip-connector
